sample	H9_Batch1.055	H1_Exp2.142	TB_Batch2.123	EC_Batch1.017	H9_Batch2.107	H9_Batch2.156	H1_Exp2.140	H1_Exp3.236	TB_Batch2.110	HFF_Batch2.120	DEC_Batch2.130	NPC_Batch2.151	NPC_Batch2.107	H1_Exp1.011	H1_Exp2.087	H9_Batch1.046	DEC_Batch2.124	H1_Exp1.048	DEC_Batch2.136	DEC_Batch1.052	H9_Batch2.158	EC_Batch1.018	H9_Batch2.143	H9_Batch1.029	DEC_Batch1.026	H1_Exp1.064	H9_Batch2.131	H9_Batch2.150	H1_Exp2.139	EC_Batch1.071	EC_Batch1.040	H1_Exp3.281	NPC_Batch2.094	TB_Batch2.099	HFF_Batch2.075	HFF_Batch2.077	H1_Exp1.064	H1_Exp2.091	DEC_Batch2.087	H1_Exp1.017	HFF_Batch3.142	DEC_Batch1.040	DEC_Batch1.012	HFF_Batch1.039	NPC_Batch1.086	H9_Batch2.129	NPC_Batch1.024	HFF_Batch2.056	H1_Exp2.104	HFF_Batch1.038	H9_Batch2.108	EC_Batch1.037	NPC_Batch1.051	NPC_Batch1.030	H9_Batch1.073	EC_Batch1.020	H1_Exp2.108	H1_Exp2.091	DEC_Batch1.037	NPC_Batch2.145	EC_Batch2.112	HFF_Batch3.148	DEC_Batch1.026	HFF_Batch2.054	H1_Exp2.088	H9_Batch1.006	DEC_Batch1.024	H1_Exp1.019	EC_Batch1.020	DEC_Batch2.098	HFF_Batch1.016	H1_Exp2.085	H9_Batch2.131	DEC_Batch1.026	HFF_Batch1.043	DEC_Batch1.062	H1_Exp2.153	HFF_Batch2.101	NPC_Batch1.022	NPC_Batch1.027	DEC_Batch2.102	HFF_Batch3.150	NPC_Batch2.090	DEC_Batch2.106	H1_Exp1.052	HFF_Batch1.031	H1_Exp1.007	H1_Exp2.085	H9_Batch2.131	NPC_Batch1.082	NPC_Batch1.044	H9_Batch2.151	H1_Exp3.263	H9_Batch1.080	H9_Batch2.147	NPC_Batch1.009	DEC_Batch2.095	NPC_Batch1.082	HFF_Batch1.041	H1_Exp2.152
CD9	0.7193	0.7198	0.7958	0.9206	0.7358	0.4987	0.6264	0.6235	0.8128	0.7034	-1.8408	-1.8408	-1.8408	0.5866	0.5338	0.6318	-1.8408	0.6267	0.7514	0.6813	0.6398	0.9064	0.6203	0.7381	-1.8408	0.5334	0.6236	0.304	0.4245	0.7453	0.6817	0.6762	-1.8408	0.6152	0.2489	0.6316	0.5334	0.6685	-1.8408	0.4651	0.7304	-0.0635	-0.5837	0.415	-1.8408	0.6534	-1.8408	0.4114	0.5178	0.6894	0.5107	-1.115	-1.8408	-1.8408	0.5746	0.7778	0.5046	0.6685	0.3599	-1.8408	0.6032	0.2411	-1.8408	0.6672	0.2766	0.5741	0.6754	0.4595	0.7778	-1.8408	0.74	0.4357	0.6236	-1.8408	0.6838	-1.8408	0.2966	-0.8464	-1.8408	-1.8408	0.0713	0.5876	-1.115	-1.8408	0.5303	0.7231	0.3336	0.4357	0.6236	-1.8408	-1.8408	0.6742	0.7187	0.4676	0.656	-1.8408	-1.8408	-1.8408	0.3243	0.391
GAD1	-0.4681	-0.4681	1.7798	1.1428	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	2.1709	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	0.4064	-0.4681	-0.4681	0.4064	-0.4681	1.2187	-0.4681	-0.4681	1.0466	-0.4681	-0.4681	-0.4681	-0.4681	2.7615	2.0832	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	2.0981	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	2.6234	-0.4681	-0.4681	-0.4681	2.6493	-0.4681	-0.4681	-0.4681	-0.4681	2.4083	-0.4681	1.0466	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	2.6493	-0.4681	1.4182	-0.4681	-0.4681	1.0466	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	0.7301	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	-0.4681	0.918	-0.4681	-0.4681	-0.4681
MEIS1	-0.9952	-0.9952	1.2866	1.2947	-0.9952	-0.9952	-0.9952	-0.2428	1.2331	1.1032	-0.3965	-0.9952	0.8611	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	1.2956	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	0.3787	1.0329	-0.2921	-0.1749	1.0613	1.1189	1.1833	-0.9952	-0.9952	-0.9952	-0.9952	1.1969	0.0417	-0.9952	1.2105	0.9378	-0.9952	1.1444	1.224	-0.9952	1.2267	-0.9952	0.7308	0.4099	0.9664	-0.9952	1.3325	-0.9952	-0.9952	1.0551	1.1055	1.2104	1.1646	-0.9952	1.1208	-0.9952	-0.9952	-0.9952	-0.9952	1.3325	-0.9952	-0.9952	-0.9952	-0.9952	-0.9952	1.1788	-0.9952	-0.4028	1.1685	-0.1749	-0.1749	-0.9952	1.0575	0.7855	0.2022	-0.9952	1.0896	-0.9952	-0.9952	-0.9952	0.8959	1.0294	-0.9952	-0.9952	-0.9952	-0.9952	0.8741	0.2961	0.8959	1.1525	-0.9952
ASNS	0.8802	0.8136	0.6899	-1.8657	0.8462	0.6362	0.7056	0.765	-0.6617	0.3051	0.74	0.6877	0.287	0.5871	0.7412	0.7111	-0.8248	0.6394	0.8471	-0.2615	0.7834	-1.8657	0.5611	0.6048	0.6779	0.6839	-1.8657	0.5027	0.5403	-1.8657	0.8788	0.8579	-0.2272	-1.106	0.6548	0.6222	0.6839	0.8581	-0.4664	0.4163	-1.8657	0.5543	-0.8248	0.8986	-1.8657	0.6582	-1.106	0.831	0.7685	-1.8657	0.7314	-1.8657	-0.8248	-1.8657	0.7085	-1.8657	0.7248	0.8581	0.7942	0.3187	-1.106	0.6874	0.6779	0.8365	0.9171	0.787	0.5555	0.439	-1.8657	0.5111	-1.106	0.592	-1.8657	0.6779	0.7225	-1.106	0.1489	0.3773	-0.0828	0.6995	-0.2272	0.7158	-1.8657	-0.0828	0.4926	0.7453	0.5951	0.592	-1.8657	0.1214	0.5382	0.6711	0.9054	0.8027	0.814	0.1139	0.1789	0.1214	0.5799	0.6088
MRC1	-0.344	-0.344	-0.344	0.7637	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	0.7637	-0.344	1.1737	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	3.6837	0.7637	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	3.5604	-0.344	-0.344	-0.344	3.5185	-0.344	-0.344	-0.344	-0.344	3.3324	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	3.5185	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344	-0.344
TMSB15A	0.7032	0.8004	-1.7501	-0.0593	0.5793	0.4446	0.425	0.6387	0.0951	-1.7501	0.4883	0.8427	0.7704	0.4047	0.4499	0.6357	-0.9886	0.4821	0.7722	-0.408	0.5344	-1.7501	0.5582	0.6299	0.7175	0.3172	0.5609	0.4337	0.7328	-1.0215	-1.7501	0.7889	0.6314	-1.7501	-1.7501	-1.7501	0.3172	0.578	0.6219	0.2541	-1.7501	0.8384	0.7365	-1.7501	0.7668	0.6608	0.8043	-1.7501	0.7413	0.7701	0.5487	-1.7501	0.6061	0.7944	0.4188	0.4519	0.5009	0.578	0.6723	0.6913	0.4697	-1.7501	0.7175	0.6214	0.4934	0.6025	0.9395	0.4198	0.4519	-1.7501	-1.7501	0.4748	0.5609	0.7175	-1.7501	0.5119	0.1044	-1.7501	0.7184	0.7752	0.7112	-1.7501	0.6428	0.4227	0.5366	0.3115	0.1831	0.4748	0.5609	0.6715	0.8621	0.0601	0.6928	0.6452	0.6571	0.5983	0.4936	0.6715	-1.7501	0.458
CRHBP	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	2.1231	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	0.741	-0.4655	2.6629	2.7166	-0.4655	-0.4655	-0.4655	-0.4655	1.0597	-0.4655	-0.4655	-0.4655	-0.4655	2.7075	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	2.1726	-0.4655	-0.4655	2.6398	0.9302	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	2.3643	-0.4655	-0.4655	0.9302	-0.4655	1.4691	-0.4655	1.0597	-0.4655	-0.4655	-0.4655	2.3109	-0.4655	2.3643	0.741	-0.4655	-0.4655	-0.4655	1.0597	-0.4655	2.5787	-0.4655	-0.4655	-0.4655	-0.4655	2.2691	-0.4655	-0.4655	1.233	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	-0.4655	1.5098	-0.4655	-0.4655	-0.4655
C15orf38-AP3S2	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	3.6803	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	5.0068	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	3.7966	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	5.5142	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	2.9967	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	3.5587	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042	-0.2042
DNMT3A	0.3978	0.6594	0.1881	0.7895	0.5722	0.3551	0.3577	0.3624	0.1839	-1.676	0.2751	0.173	0.1464	0.3623	0.4579	0.3845	0.15	0.4669	0.2247	0.3627	0.3943	0.5114	0.392	0.4252	-0.063	0.3317	0.5932	0.377	0.6191	0.2649	0.7195	0.478	0.2199	-0.0186	-4.5025	-0.0119	0.3317	0.4374	0.3413	0.0558	-0.7466	0.1611	0.2058	0.0242	0.1209	0.5263	0.0674	-0.4239	0.4933	-6.373	0.569	0.447	-0.6161	0.1745	0.3662	0.5726	0.342	0.4374	0.3204	0.2592	0.5751	-0.5954	-0.063	-0.8895	0.3371	0.4564	-1.6504	0.1137	0.5726	0.2937	-0.0161	0.1769	0.5932	-0.063	-6.373	0.0801	-0.6004	0.3556	0.1987	0.3865	-0.5571	-0.8694	-0.0216	-0.0308	0.2551	-3.8101	-0.0858	0.1769	0.5932	-0.3411	0.2591	0.5549	0.4497	0.3149	0.5723	-0.1266	-0.3046	-0.3411	-0.1444	0.0422
NOLC1	0.6284	0.8235	-1.8993	0.0238	0.7026	0.3891	0.4472	0.5104	0.3081	0.6428	0.5583	0.6319	0.2274	0.4801	0.5445	0.6385	-0.6122	0.5601	0.2538	0.4134	0.503	-1.8993	0.593	0.5347	0.2822	0.3964	0.5779	0.4871	0.7272	0.5161	0.5553	0.6459	-0.015	0.2601	-3.4266	-0.1541	0.3964	0.56	0.069	0.3389	-1.4835	-0.4106	0.1763	0.2174	0.5144	0.6145	0.2718	0.06	0.5776	0.3326	0.5741	-2.3119	-3.4266	0.2296	0.5688	-1.8993	0.4806	0.56	0.2578	0.3906	-1.6599	0.086	0.2822	-0.6604	0.4744	0.5374	-0.8105	0.3536	-1.8993	-3.4266	0.2349	0.3693	0.5779	0.2822	0.3259	0.6418	0.0997	0.5132	-0.0244	-0.6122	0.313	-1.1802	-0.6122	0.1608	0.3858	-1.8904	0.0459	0.3693	0.5779	0.3473	0.322	0.7186	0.7269	0.4373	0.7024	0.1863	-0.5837	0.3473	-0.2129	0.3301
SLC39A9	-0.7551	0.6561	0.6499	-0.6213	0.7269	0.5907	0.1255	-0.0956	0.6738	0.5119	0.5921	-0.0678	0.5479	-0.0596	0.23	0.3	0.4518	0.3679	-0.0321	0.0123	0.0197	-2.4771	0.3484	0.2791	-0.4105	-0.0795	-1.3895	-1.2845	0.8354	0.6887	0.7801	0.8521	0.1086	0.5307	0.5502	0.8044	-0.0795	0.5144	-0.9406	0.0525	-2.4771	0.4634	-0.4682	0.7787	0.56	0.7224	0.3402	0.646	-1.8248	0.9061	-0.1495	-2.9888	-1.452	0.3295	0.3657	0.0916	0.208	0.5144	0.2279	0.317	-0.0193	-0.1586	-0.4105	-0.6213	0.3938	0.1598	-2.9888	-0.4967	0.0916	-1.9768	0.6848	0.4047	-1.3895	-0.4105	0.5288	0.6172	-0.182	0.2375	0.487	0.5888	0.2068	0.4126	0.0802	0.4552	0.2645	0.8246	-0.0866	0.4047	-1.3895	0.3158	0.5748	0.3793	0.5495	0.2874	0.1577	0.4035	-0.4714	0.3158	0.6955	-1.2845
MCM3	0.7653	0.7033	0.4603	-2.3886	0.6513	0.6011	0.7008	0.6557	0.5632	-2.3886	0.6994	0.5973	0.4626	0.5609	0.6092	0.705	-0.8452	0.6561	0.478	0.4569	-0.7128	-2.3886	0.637	0.6355	-0.9374	0.5046	0.6737	0.5659	0.7569	-0.2731	-1.5507	0.7608	-0.3846	0.4648	-2.3886	-2.3886	0.5046	0.6921	0.5699	0.4213	-2.3886	0.3836	0.7053	-0.2621	0.3917	0.6442	0.2628	-2.3886	0.736	0.6687	0.5213	-2.3886	0.6821	0.4792	0.6493	0.0583	0.4871	0.6921	-0.2621	-0.4431	0.2507	-2.3886	-0.9374	-2.3886	0.4913	0.6734	0.135	0.4207	0.0583	-0.8452	-2.3886	0.5941	0.6737	-0.9374	-0.4528	0.5226	0.294	-2.3886	0.2448	0.5654	0.319	-2.3886	-0.0993	0.6167	0.532	-1.2406	0.2946	0.5941	0.6737	0.4119	0.5511	0.7463	0.7627	0.5174	0.6728	0.3635	-1.2406	0.4119	-2.3886	0.503
ARHGDIB	-0.4838	-0.4838	2.5598	0.8276	-0.4838	-0.4838	-0.4838	1.7867	2.416	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	2.349	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	1.0402	-0.4838	2.4021	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	0.8276	0.3436	-0.4838	-0.4838	-0.4838	2.4034	-0.4838	-0.4838	-0.4838	-0.4838	2.2886	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	2.4034	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838	-0.4838
LEFTY1	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	0.8639	-0.5167	-0.5167	-0.5167	2.054	-0.5167	-0.5167	1.4283	1.5532	-0.5167	2.2133	-0.5167	2.1241	2.252	-0.5167	-0.5167	-0.5167	-0.5167	2.1756	1.3341	-0.5167	-0.5167	0.5754	-0.5167	-0.5167	1.6507	-0.5167	-0.5167	-0.5167	-0.5167	1.3341	-0.5167	2.171	-0.5167	-0.5167	2.3214	0.988	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	2.1066	-0.5167	-0.5167	-0.5167	2.1756	-0.5167	1.9454	0.2804	2.1937	-0.5167	-0.5167	2.3434	-0.5167	-0.5167	-0.5167	2.1756	-0.5167	1.5417	-0.5167	-0.5167	-0.5167	-0.5167	1.6645	-0.5167	-0.5167	1.9297	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	-0.5167	1.4987	-0.5167	-0.5167	-0.5167	2.2652	-0.5167	-0.5167	-0.5167
CYP26A1	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	1.365	-0.6471	0.0462	-0.6471	-0.6471	1.8514	0.0462	1.4397	-0.6471	1.1915	-0.6471	1.9536	-0.6471	1.9678	1.8294	-0.6471	-0.6471	1.4383	0.9627	1.7986	-0.6471	1.3891	1.4598	-0.6471	-0.6471	-0.6471	1.2137	1.6566	-0.6471	-0.6471	-0.6471	-0.6471	1.4709	2.0192	-0.6471	-0.6471	1.9162	1.8548	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	1.2636	-0.6471	1.0251	-0.6471	1.3146	-0.6471	-0.6471	1.4709	1.9951	-0.6471	-0.6471	-0.6471	1.7986	-0.6471	1.3491	-0.6471	2.0466	0.6901	-0.6471	1.9093	-0.6471	1.3232	1.3891	1.7986	-0.6471	1.9129	1.0111	-0.6471	-0.6471	-0.6471	1.9398	-0.6471	-0.6471	1.8675	-0.6471	-0.6471	0.0462	1.3232	1.3891	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	-0.6471	1.9573	-0.6471	-0.6471	-0.6471
VIM	-2.3523	-1.5404	0.7954	0.6719	0.2156	-2.3523	0.0279	-0.3641	0.5241	0.8709	0.1909	0.3388	0.2777	-0.0232	-0.1671	-2.3523	0.4484	0.1818	0.557	0.0978	-1.5404	0.8123	-2.3523	-1.5404	-0.0142	0.0785	0.2028	0.0569	-1.2399	0.614	0.7059	0.0662	0.406	0.4774	0.7493	0.815	0.0785	-0.0886	0.6455	-1.2399	0.7885	0.6213	0.6752	0.7828	0.4874	-0.1857	0.4657	0.8122	0.1096	0.811	-0.1991	0.4391	-0.2753	0.2618	0.051	0.7535	-2.3523	-0.0886	0.5939	0.4729	0.7027	0.7426	-0.0142	0.9384	-2.3523	-0.0584	0.4589	-0.1857	0.7535	0.2178	0.7741	-0.1291	0.2028	-0.0142	0.7682	0.5323	-1.5404	0.7805	0.4594	0.4781	0.3611	0.5466	0.4815	0.6015	-1.5404	0.8711	0.0491	-0.1291	0.2028	0.41	0.511	-0.4671	-2.3523	-1.5404	-0.8568	0.2575	0.4411	0.41	0.7925	-0.394
MCM6	0.8826	0.9538	-1.142	-1.1259	0.831	0.7309	0.8264	0.8293	0.7224	-0.1497	0.717	0.764	-0.1265	0.6709	0.6176	0.7254	-0.4135	0.7174	0.804	0.8479	0.8955	-1.9262	0.4662	0.1094	0.4217	0.5798	0.748	0.7171	0.8562	-0.6832	-1.9262	0.8953	-0.3577	0.5707	-0.8517	0.1602	0.5798	0.6881	0.5971	0.3429	0.8938	0.6778	0.6372	0.7794	0.5923	0.6237	-1.142	-1.142	0.8183	-0.6832	0.7521	-1.9262	-0.8517	-0.3106	0.7738	-1.9262	0.6582	0.6881	-1.142	-0.3106	0.02	-1.9262	0.4217	-0.8517	0.8177	0.7692	0.8065	0.4993	-1.9262	0.4429	-1.142	0.6412	0.748	0.4217	0.2481	0.5865	0.5835	-0.6832	-0.6832	0.8325	-0.4816	-1.9262	0.2352	0.8524	0.364	-0.8517	0.4807	0.6412	0.748	0.3964	0.2895	0.9101	0.8967	0.8193	0.8426	0.2063	0.1727	0.3964	0.2642	0.6462
CLNS1A	0.6056	0.6048	0.4904	-4.1991	0.6595	0.3722	0.4713	0.0215	-2.8596	0.4933	-0.4266	0.4093	-0.4326	0.2434	0.4333	0.6238	0.4117	0.4768	0.0345	0.3349	-0.251	-2.8596	0.61	0.5126	0.4381	0.2124	0.5667	0.4217	-1.4398	-2.0761	-4.1991	0.3284	-0.2994	0.3697	0.3513	0.4713	0.2124	0.5483	0.5022	0.004	0.3536	0.4928	0.2179	0.531	0.6241	0.2483	0.5197	-4.1991	0.5003	0.6438	0.5076	-4.1991	-0.9684	0.2859	0.4623	0.5252	0.2064	0.5483	0.0106	-0.0863	-0.6248	-0.1003	0.4381	-0.6955	-0.6248	0.2276	0.5525	0.0903	0.5252	-1.8791	0.1998	0.4449	0.5667	0.4381	0.4356	0.534	-0.2034	-0.9189	0.4958	0.6118	-0.071	0.1521	0.2451	0.5611	0.0268	-0.5311	0.037	0.4449	0.5667	0.3967	0.5941	0.5734	0.4346	0.3458	0.6403	-0.0636	-0.604	0.3967	0.221	0.3462
SFRP2	0.9754	0.8915	-1.267	-1.267	0.7524	0.7396	0.8557	0.8607	-1.267	-1.267	0.7968	0.6853	0.7227	0.8227	0.8116	0.8881	-1.267	0.7274	-1.267	-1.267	0.7676	-1.267	0.8402	0.9041	-1.267	0.7407	0.8268	0.731	0.8479	0.8834	-1.267	0.8878	0.586	-1.267	-1.267	-1.267	0.7407	0.9417	-1.267	0.6859	-1.267	-1.267	0.7157	-1.267	0.9196	0.9339	0.9347	-1.267	0.9075	-1.267	0.8295	-1.267	0.9868	0.8703	0.8599	-1.267	0.7574	0.9417	-1.267	0.8827	0.4617	-1.267	-1.267	-1.267	0.8261	0.9094	-1.267	0.7564	-1.267	-1.267	-1.267	0.8337	0.8268	-1.267	-1.267	0.6269	0.659	-1.267	0.9234	0.8516	-1.267	-1.267	0.7673	-1.267	0.8017	-1.267	0.4552	0.8337	0.8268	0.7498	0.932	0.9463	0.9627	0.8452	0.9556	0.554	-1.267	0.7498	-1.267	0.7015
ANP32E	0.3401	0.459	-0.1734	0.6425	0.7578	0.407	0.2394	0.2343	0.5377	-0.1464	0.3708	0.5667	0.3536	0.3414	0.2385	0.301	-0.1812	0.5599	0.4098	-0.5267	0.4263	0.3678	0.581	0.4409	-0.0669	0.0178	0.5138	0.589	0.6249	0.4711	-0.1711	0.4082	0.0069	0.5043	-1.0242	-0.1759	0.0178	0.7968	-0.2442	0.0345	-0.4901	-0.2117	-0.213	0.2964	0.4436	0.6396	0.5363	-0.089	0.3614	1.0565	0.8026	-0.5556	-0.2254	0.4422	0.5781	0.7755	-0.3991	0.7968	0.1707	-0.1374	-0.4901	-3.8286	-0.0669	-8.0271	0.148	0.386	0.4816	0.1342	0.7755	-0.2996	-0.6371	0.1911	0.5138	-0.0669	0.095	0.1974	-0.8836	-0.2119	0.359	0.1312	-0.0167	-1.0539	-0.0843	0.4263	-0.0878	-0.1311	-0.3672	0.1911	0.5138	-0.072	0.0162	0.8211	0.576	0.1908	0.6895	-0.218	-1.5358	-0.072	0.019	-0.0587
VCAN	0.6465	0.7385	-2.3051	0.7734	0.3361	0.4763	0.7081	0.6195	-2.3051	0.7968	0.5231	0.7049	0.3001	0.6022	0.5504	0.6028	-0.3409	0.7919	-0.8493	0.6641	0.6823	-0.4665	0.6111	0.7013	-0.1811	0.7136	0.7177	0.5773	0.6507	0.6707	-1.4682	0.699	0.5983	-0.3409	-0.8555	-0.0134	0.7136	0.6748	-0.9786	0.5673	0.6482	0.4781	0.4683	-0.6313	0.356	0.7421	0.6318	0.2325	0.5915	-2.3051	0.696	-1.2879	0.063	0.5233	0.5837	0.5144	0.5279	0.6748	0.5909	0.5284	-0.8555	-2.3051	-0.1811	0.5518	0.5465	0.6279	-2.3051	0.5109	0.5144	0.5943	-1.4682	0.4619	0.7177	-0.1811	-2.3051	-0.6313	0.063	0.7228	0.6923	0.702	-0.9786	0.3763	0.4248	-0.4093	0.6661	0.0405	0.3897	0.4619	0.7177	0.4829	0.3903	0.7069	0.7562	0.6704	0.7192	0.3127	-0.3215	0.4829	0.4184	0.1742
OTX2	-1.2788	0.7512	-1.2788	-1.2788	0.9338	0.8732	0.8485	0.6932	-1.2788	-1.2788	0.7261	-0.2833	0.6702	0.1625	0.5948	0.7844	0.4331	0.6153	1.0737	0.8993	0.7724	-1.2788	0.8805	0.7671	1.0329	-1.2788	0.9207	0.7927	0.62	-1.2788	-1.2788	0.9177	-0.191	-1.2788	-1.2788	-1.2788	-1.2788	0.2234	1.0406	0.101	-1.2788	1.0308	0.9258	-1.2788	0.878	0.8874	0.8974	-1.2788	0.9263	-1.2788	0.6245	-1.2788	0.7995	0.8429	0.7046	-1.2788	0.6748	0.2234	1.0054	1.005	-1.2788	-1.2788	1.0329	-1.2788	0.8947	0.8206	1.0397	0.3869	-1.2788	0.5949	-1.2788	0.8024	0.9207	1.0329	-1.2788	1.0059	0.54	-1.2788	0.4021	0.9997	0.9536	-1.2788	0.9882	0.9574	0.6245	-1.2788	-1.2788	0.8024	0.9207	0.7525	0.9122	0.8707	0.4957	0.4485	0.9859	0.7626	1.0117	0.7525	-1.2788	0.5659
GMFB	0.7135	0.4125	-0.5099	-3.8234	0.7628	-0.4168	0.4241	0.5094	0.6699	0.3523	0.2936	0.4995	-0.5191	0.2592	0.5034	0.6177	-1.2237	0.3589	-0.0573	0.3269	0.5585	0.6933	0.4785	0.4436	0.1558	0.3264	0.4693	0.3673	0.7172	-0.4924	-3.8234	0.7269	0.2381	0.5136	0.1676	0.6326	0.3264	0.6528	0.6546	-0.0432	-0.2109	-0.0638	0.3903	0.6764	-0.6835	0.344	0.3593	0.1818	0.5423	0.8217	0.2993	0.6306	-3.8234	0.3365	0.5002	-2.1366	0.2179	0.6528	0.427	-1.2237	0.1302	-0.6989	0.1558	0.4168	0.4915	0.4846	0.7283	0.2173	-2.1366	-0.6686	0.4943	0.4438	0.4693	0.1558	0.3947	0.0847	-0.2391	0.7644	0.177	-0.934	0.3091	0.0089	0.3811	0.1638	0.2055	0.2167	-0.058	0.4438	0.4693	0.1415	0.446	0.644	0.7568	0.3771	0.6249	0.3433	-0.6031	0.1415	0.3047	0.3317
